topic,file,text,sum1,sum2,sum3,sum4
D0901,D0901-A,"Indian and Pakistani military commanders were to discuss Wednesday Indian charges that Pakistan fired mortar shells across the border into Indian-controlled Kashmir in violation of a 14-month ceasefire. The director-generals of military operations of the nuclear-armed neighbours were slated to talk by telephone about the incident that occurred late Tuesday. ""The director generals of military operations will be talking later today,"" an Indian government official said, declining to be named.","Since they became separate nations in 1947, India and Pakistan have fought two wars over Kashmir, 
the Himalayan province which was split between them. Kashmir is India's only majority Islam province,
 and an Islam insurgency began on the Indian side in 1989. More than 45,000 people were killed. 
 A bilateral cease fire was pronounced in 2003, and Prime Minister Singh of India reduced troop levels by 40,000 
 in a force of 500,000. Peace talks began in 2004 and in March 2005, bus service between the two countries began,
  the first tangible result of the peace talks. ","During November 2004, India's prime minister reduced troops on the Kashmir border as a goodwill gesture prior to his visit. While there, he met with Kashmiri separatist leaders. India rejected a Pakistani suggestion that some Kashmir areas be made independent, placed under joint control, or put under UN administration. The Indian and Pakistani prime ministers were to meet in New Delhi to further the peace process begun in January and facilitated by a year-long ceasefire. Consequently, on April 7, 2005, limited bi-weekly bus service between the Indian- and Pakistani-controlled sections of Kashmir resumed for the first time in 57 years. ","A border ceasefire begun November 25, 2003 has held. The US pressured Pakistan to control militant groups. India's early 2004 talks with Kashmiri separatists showed little progress. India and Pakistan were to start formal talks on Kashmir in December. Pakistani President Musharraf suggested making Kashmir autonomous or putting parts under joint India/Pakistan or UN control. Indian PM Singh committed to making peace with Pakistan but rejected redrawing the border. India withdrew some border troops. Singh visited Kashmir three times and announced a Kashmiri economic development plan. Bus service between the Indian and Pakistani zones started in April 2005. ","There appears to be progress in the Indian-Pakistani dispute over Kashmir. The bilateral ceasefire has held for a year. The Indian Prime Minister met with Kashmiri political leaders for the first time. India has reduced the number of border troops and announced a multibillion-dollar development plan. Bus service has been opened for the first time in 57 years. The Pakistani President has suggested three solutions: Some areas of Kashmir could be made independent or placed under joint Indian-Pakistani control or put under UN administration. However, India has ruled out division along religious lines or redrawing international borders. "
D0901,D0901-B,"The first trans-Kashmir bus in decades has rolled and dozens of families have been reunited across the divide, but real progress by nuclear-rivals India and Pakistan on their core dispute over Kashmir remains a long way off, analysts say.""We basically see this as one of the confidence-building measures,"" said Ajai Sahni of the New Delhi-based Institute of Conflict Management.""We must understand that for Pakistan, none of the fundamentals have really altered in terms of intent or claim. ""The first bus service spanning divided Kashmir in nearly 60 years ran simultaneously Thursday from Srinagar, the summer capital of Indian Kashmir and Muzaffarabad, capital of the Pakistan-administered zone. Passengers crossed the heavily-militarised Kashmir frontier despite attempts by militants on the Indian side to derail the historic journey with a blast along the route and an attack a day earlier on a guesthouse complex in Srinagar where the passengers were staying.","Pakistan's President Musharraf and India's Prime Minister Singh met for talks in New Delhi in April 2005. 
Musharraf pronounced the peace process, begun in January 2004, as ""irreversible."" India and Pakistan agreed to 
open bank branches in each other's countries. Trade rose to $600 million in 2005, and they pledged improvement 
in air and shipping services. They also agreed to notify each other in advance of ballistic missile tests.
 Prime Minister Singh invited Kashmir's separatists for peace talks, a critical move toward pushing forward
  the peace process. They had previously been excluded from the talks between India and Pakistan. ","Despite improved economic and cultural relations, India and Pakistan have made little progress on the problem of Kashmir. However, leaders of both countries remain committed to the peace process. They planned formal talks on the subject in New Delhi on April 17, their first since India's Prime Minister Singh took office last May. On April 16, moderate Kashmiri separatist leaders were to meet with the Pakistani president in New Delhi. In June, they made a historic trip to Pakistan and met with Pakistani government officials. India's Prime Minister Singh invited them for peace talks to be held on September 5. ","In April 2005 Musharraf came to New Delhi for an India-Pakistan cricket match and his first talks with Singh. Kashmiri moderates in the All Party Hurriyat Conference (APHC) met with Musharraff there and later visited Pakistan. They demand inclusion in the peace process. Indian mediators had been in contact with APHC leaders since their 2004 talks. Some Kashmiri activists in Indian jails have been freed. Singh invited APHC moderates for peace talks September 5th. Singh and Musharraf met September 14th in NY, vowed to pursue peace in Kashmir but produced no major initiatives. India-Pakistan ties have strengthened in other areas. ","Progress continues to be made in the Indian-Pakistani dispute over Kashmir despite the April killing by suspected Muslim rebels of six Indians, including three policemen. The Pakistani President visited India in April for his first formal talks with the Indian Prime Minister. In June eight moderate separatist leaders from India visited Pakistan. In September the Indian Prime Minister invited separatists for peace talks. On the economic front, India and Pakistan were scheduled to hold joint economic meetings for the first time in 16 years. They are focusing on banking, air and shipping services, customs rules, and regular bus service. 
"
D0902,D0902-A,"Nearly one-third of sexually active Portuguese girls between the ages of 15 and 19 have taken the ""morning-after"" pill to prevent pregnancy, according to a study published Thursday in the daily Publico. The study, one of the largest ever carried out into the contraceptive habits of Portuguese women, also found 16 percent of all sexually active girls in this age group do not use any form of birth control at all, the paper said. Yet fully 83.4 percent of 15-to-19-year-old women said they had received information on contraceptives at school, according to the study by the Portuguese Society of Gynecology.""We have to pay more attention to young women, this is where the greatest potential risks exist,"" the president of the association, Daniel Pereira da Silva, told the newspaper. Staunchly Roman Catholic Portugal has one of the highest teen pregnancy rates in the European Union.","The FDA has approved the use of an emergency contraceptive, called the morning-after pill. When used within 72 hours after intercourse, the drug prevents pregnancy. Barr Pharmaceuticals proposed that the FDA allow girls age 16 or older to obtain the drug over the counter. Proponents claimed it would be invaluable in preventing unplanned pregnancies. Opponents argued that the pill causes abortion, which they strongly oppose. Medical authorities disputed this. Conservatives feared its use would make young girls more promiscuous. Research following 2,000 California girls found that those who used the pill were not more likely to have unprotected sex. ","Introduction of the ""morning-after pill"" led to much controversy over its use and distribution. Some groups considered it a form of abortion while others argued it was not. Some said it encouraged teen-age sex while scientific studies indicated it did not. The pill was available by prescription only. Proponents argued for its sale ""over the counter"" (OTC). Opponents said this would encourage teen-age sex. The Food and Drug Administration (FDA) rejected a proposal for OTC sales in May 2004. In January 2005 it continued to consider OTC sales to women 16 years or older. ","Debate continues on over-the-counter availability of the ""morning after pill."" US supporters consider it safe and effective in preventing unwanted pregnancies. Those opposed, especially the Bush administration and the religious right, consider the pill an abortion, interference with ""natural law"", and promoting promiscuity. Two studies found it did not increase sexual activity, but also did not decrease pregnancies. The DEA is expected to decide soon whether the pill can be dispensed over the counter to those 16 and older. Also debated is whether pharmacists may refuse to fill prescriptions for this pill. Other nations are also concerned. ","The conflict over approval of the morning-after pill continues. Both sides consider the drug safe and effective. Opponents claim that such accessability would encourage teens to have sex. Supporters say that it would reduce the number of teenage pregnancies significantly. The Bush Administration has promoted abstinence-only education and a top FDA official rejected nonprescription sales, overruling the strong recommendation of FDA scientific advisers. Six states allow nonprescription sales of the drug. Now there is a proposal that to make the pill available without prescription to those 16 and older, but to require younger teens to consult a physician. "
D0902,D0902-B,"Only one-third of British teens use condoms consistently, a  health charity said in a report Thursday warning that ignorance about sexual health was putting youth at risk. Out of 1,300 people aged 16 to 18 surveyed for the Brook study, a majority said they had used a preservative at least once, but only 37 percent of males said they used them consistently and only 30 percent made their partners use them. ""Condom confusion"" increased their risk for sexually transmitted infections (STIs) since the devices were used primarily to prevent pregnancy rather than for health protection, and were often ""applied too late, or removed too early,"" Brook said. General ignorance about sexual health risks was widespread: 52 percent of respondents thought chlamydia affected only women, and 31 percent thought sexually transmitted infections could be caught from a toilet seat. Fifty-four percent also did not know that the ""morning after"" contraceptive pill could remain effective for up to 72 hours after sexual intercourse. There was also a significant gap between teens' general concern about STIs and HIV/AIDS, and whether they considered themselves personally at risk of disease.","In 2003, two expert panels at the FDA recommended that Plan B, the morning-after pill, be available over-the-counter. In 2005, the FDA still had not issued a ruling. In a Congressional hearing, Senator Hillary Rodham Clinton wondered if was ""a dangerous slide into political opinion as opposed to scientific evidence."" In the absence of federal action, six states have allowed pharmacists to dispense Plan B without a prescription. The religious right led the effort, nationally and in at least 11 states, to give protection to pharmacists who refuse to fill prescriptions for Plan B because of religious beliefs. ","The FDA was supposed to make a decision on the revised OTC proposal in January 2005, but it did not. In February the acting FDA Commissioner was nominated to be Commissioner. He declared the subject of the pill ""complex"" and could not say when a decision would be made. Some senators refused to vote for confirmation until a decision was announced. As the FDA stalled, debate continued and states began to debate local action and such peripheral issues as whether pharmacists are compelled to sell products to which they have moral objections. ","On March 31, 2005, Senate Democrats questioned the nominee for FDA chief on the lack of a decision on over-the-counter (OTC) sales of the morning-after pill, recommended by his staff and available with a prescription since the 1990's. He called the delay complex. Six states already allow OTC sales, with politicians in other states campaigning on this question. Discussions are heating up over pharmacists refusing to dispense this pill, even with a prescription. Four states have laws giving them that right and 11 states are considering this legislation. One pharmacist is suing the Governor of Illinois for this capability. ","Several Democratic senators including Kennedy, Clinton, Mikulski, and Murray wanted to delay confirmation of President Bush's nominee to head the FDA until a decision was made on whether the morning-after pill could be sold without prescription. Some pharmacists around the country were refusing to fill prescriptions for any birth control pills, claiming that they violate their beliefs. At least eleven states allow pharmacists to refuse to fill prescriptions for religious reasons. Massachusetts may join six other states in allowing the pill to be sold without a prescription and four states are considering laws requiring pharmacists to fill all prescriptions. "
D0903,D0903-A,"Portugal, one of the most oil-dependent nations in Europe, will begin work on the world's biggest solar energy power station next year, officials said Tuesday. The plant will have 350,000 solar panels spread over 114 hectares (280 acres) near the southern town of Moura and will be able to produce 62 megawatts, more than six times the largest existing solar power station in Germany. ""The construction of the station will begin in 2006, it is irreversible,"" Moura mayor Jose Maria Pos-de-Mina was quoted as saying by Lusa news agency.","With rising prices of natural gas and oil, interest is increasing in alternative fuels. The market for solar power is expected by some to grow 35% a year in the next five years. Earlier, $20,000, the minimum cost to install a home solar-power system, was too high; but now higher efficiency and tax and rebate incentives from government and utilities help reduce that cost. California has many solar electricity systems already in operation. Interest is widespread. Portugal plans the world's biggest solar energy power station. Taiwan claims the best silicon solar cell plant. Italy has Europe's first solar-powered train. ","Spain loaned the Philippines $4.4 million for a solar project to provide electricity to nearly 300 thousand rural households, schools, potable water systems, and health centers. Portugal planned to begin work on the world's biggest solar power station in 2006. The project, built by BP, was expected to create 240 jobs. The California counties of Fresno and Madera operate 500 solar electricity systems and Long Island powers 560 homes and businesses by solar energy. Italy developed a solar power train that powers air conditioning, illumination, and safety systems. Japan and Wales use solar panels for a portion of train power. ","Interest in solar power is increasing with large scale projects planned in Portugal and the Philippines. Large energy giants like BP and Royal Dutch Shell are involved in producing equipment. The agricultural valleys of California are considered favorable for solar power. Home conversions to solar power will probably require subsidies to offset initial costs but will lead to low monthly bills. Improvements in semiconductors will aid solar development. Solar panels on trains in Italy and Japan provide for air conditioning, illumination and safety systems. Solar cars and backpacks have been developed. ","Expectations are high for the growth of solar power. Petroleum industry officials warn solar could become competitive by 2015. In the US, the solar market is expected to grow by 35% a year. In California, production increased from 10 megawatts in 2001 to 100 in 2005. In New York, demand for home systems skyrocketed this year. Portugal is planning a 62 megawatt power station for completion in 2009. In the Philippines, a $63.1 million project is bringing power to rural areas. Taiwan is developing the solar industry chain. Other projects include solar powered trains, cars, and backpack battery chargers. "
D0903,D0903-B,"The Portuguese government has granted an operating license for a huge solarenergy power station that its backers claim will be the world'slargest. The Economy and Innovation Ministry said Wednesday it approved a project toinstall solar panels over 114 hectares (280 acres) in southeastern Portugal, oneof Europe's sunniest spots. The power plant, costing euro250 million (US$302 million), is to have a capacityof 62 megawatts when it comes on line in 2007.","Germany is the world's leading solar energy market. Farmers are replacing crops with fields of solar energy panels, thanks to government incentives, which have spurred 150 percent growth in one year. A world leader in renewal energy a decade ago, the U.S. is lagging. For lack of government support, its share of photovoltaic cell production has dropped from 45 percent in 1996 to 8 percent in 2005. The U.S. may gain ground by use of technology. One producer predicts that, thanks to technical improvement, the cost of solar systems will drop by two-thirds over the next five years. ","Italy helped Beijing build a solar energy system for the Olympic Games in 2008 and beyond. China plans to spend $180 billion on renewable energy, including substantial solar heat development. Indonesia plans to build thousands of small solar power units to boost power capacity. Taiwan's renewable energy promotion has yielded the world's third highest installation density of solar water heaters. Angola developed a plan to supply energy to its rural population. The plan would provide 1300 villages with 15 solar generating plants each. ","Portugal now has an operating license for the world's largest solar power station. Indonesia plans thousands of small-scale solar plants to assist remote areas and Angola has a similar 15-year plan. Italy will help China in building a solar system for hot water for the Olympic Games. China also has a contract with BP Group to develop solar photovoltaic. Germany is the world's leading solar energy market. California, the third largest market and will increase subsidies for possibly a million rooftop solar panels over the next eleven years. Greece's president and prime minister have solar panels on official residences. ","Although California has the world's 3rd largest market for solar materials, the US is moving slowly toward solar power. Last year, .00067% of its electric power came from solar. Germany has the largest world market. China, building a solar powered Olympic village, is planning to expand collection areas to 300 million cubic meters by 2020 and have the photovoltaic market grow from 20 megawatt hours to 10,000 by 2020. Taiwan is proud of having the worlds 3rd highest density of solar water heaters and has a ""solar-powered city"" project underway. Angola plans to provide solar power plants to 1,300 villages. "
D0904,D0904-A,"Rioting erupted Saturday in an impoverished neighborhood of Toledo, Ohio after hundreds of counter-protestors broke up a planned march by a neo-Nazi group, Toledo police confirmed. Scores of rioters rampaged through streets wrecking cars and setting a building on fire in north Toledo after police fired tear gas on the anti-Nazi group. Six people were arrested, according to Fox News. The violence broke out after a group of nearly 80 white supremacists of the Virigina-based National Socialist Movement assembled for a march against what they called black gang violence against whites in the Toledo neighborhood. Bob White, leader of the movement, said police forced his group to disband after the protestors gathered around them and began to throw stones.","In 2005 the husband and mother of a federal judge in Oregon were shot to death after the judge made a ruling unfavorable to the leader of a white supremacist group called Creativity. An Arkansas group, White Revolution, clashed with a crowd in Boston where holocaust survivors were commemorating the liberation of Nazi concentration camps. Hundreds of protestors broke up a planned march by a neo-Nazi group in Toledo. A candidate for a city council race in North Carolina posted comments 4,000 times on a white supremacist internet site. He said blacks should be treated like ""rabid beasts."" ","White supremacists often travel cross-country staging protests. An Arkansas-based group protested in Boston. A Virginia-based group marched in Toledo, Ohio. Neo-Nazis urged followers to travel to Crawford, Texas to protest the Iraq war. One neo-Nazi leader plotted to kill a federal judge. White supremacists spread their word through books and internet postings, often quoting King and other civil rights leaders to advance their own agendas. To avoid violent clashes, community leaders have pleaded for calm, staged peace rallies and delayed announcing protest routes. A national watchdog group monitors warehouse activities of online retailer Aryan Wear in Dallas-Fort Worth, Texas. ","When the mother and spouse of a Federal judge handling a lawsuit against white supremacists were murdered, law enforcement officials investigated a connection to Matthew Hale, a white supremacist. White supremacists clashed with a crowd in Boston where Holocaust survivors celebrated the liberation of Nazi concentration camps. Aryan Wear, a Texas group, offers clothing for white supremacists. A Charlotte NC city council candidate dropped out of a race when it was disclosed he had posted to a white supremacist Website. Violence erupted in Toledo OH when white supremacists assembled for a march against black gang violence against whites. ","White supremacists threatened a Chicago judge and murdered her husband and mother. Arkansas-based supremacists clashed in Boston with Holocaust survivors and families commemorating the liberation of concentration camps. Aryan Wear sells white supremacist clothing, music and books online. The FBI can do little because the business is not breaking the law. A white supremacist sought a North Carolina county council seat and self-published a racist novel. Supremacists use the words of civil rights leaders to advance their agendas. Rioting erupted when counter-protestors broke up a Virginia neo-Nazi group's planned march in Toledo. The Southern Poverty Law Center tracks extremist groups. 
"
D0904,D0904-B,"Australian Prime Minister John Howard appealed for calm while airborne and mounted police reinforcements were on alert as night fell in Sydney on Monday amid fears of fresh outbreaks of racial violence. More than 30 people were injured and 16 were arrested in some of the worst racial violence in Australian history as riots spread from south Sydney's Cronulla beach on Sunday afternoon to neighbouring suburbs overnight. The violence began when rampaging mobs of drunken white youths attacked people of Middle Eastern appearance at the beach, sparking revenge attacks by carloads of men who swept through nearby suburbs smashing dozens of cars.","A neo-Nazi group staged a rally in Toledo in December 2005. Large numbers of police prevented violence. Two months earlier the group had caused a riot when they announced plans for such a rally. More than 30 people were killed in Australia when mobs of drunken white youths attacked people of Middle Eastern appearance at a beach in Sydney. In Wilmington, N.C., a state-appointed Race Riot Commission found that in 1898, violence was part of the successful effort of white supremacists to disenfranchise blacks, some of whom held high public office. An unknown number of black residents were killed. ","Swedish authorities are investigating a former KKK leader and US politician for racial law violations after he delivered a speech to a neo-Nazi gathering there. White supremacists are suspected in the killing of a Jewish Defense League activist in a federal prison. Neo-Nazis staged rallied at City Hall in Toledo, Ohio. To avoid violence, about 700 police were deployed, community leaders promised counterdemonstrations would be peaceful, and rally-related activities were confined to City Hall grounds. In a Sydney, Australia, thousands of white youths, including white supremacists and neo-Nazis, attacked Middle Eastern-looking beachgoers. Some 2,000 police were deployed to maintain order. ","At least 22 blacks died in Wilmington DE when white supremacists rioted in 1898 and attempted to put members in office by force. Authorities investigated whether David Duke, former Ku Klux Klan leader, violated racism laws in a speech in Sweden, agitating against an ethic group. A neo-Nazi group staged a rally in Toledo OH. Hundred of officers stood guard. More than 30 people were injured and 16 were arrested in racial violence in Sydney Australia in December 2005. The violence began when mobs of drunken white youths attacked people who looked Arabic. ","Sweden investigated former Klan leader David Duke for violating its racism laws, punishable by four years in prison, in a speech to neo-Nazis. Toledo police barricaded counter-demonstrators 75 yards from a neo-Nazi rally to avoid a repeated melee. In Sydney, white youths attacked people of Middle Eastern appearance, sparking nights of revenge attacks by carloads of youth. People blocked roads near the local mosque against attack. Heavy police presence and car stops prevented a repeat. White supremacists spent months organizing an 1898 riot and coup d'etat in Wilmington, N.C. that killed blacks, stemmed their political advances, and disfranchised a race. "
D0905,D0905-A,"Taiwan Power Co. (Taipower) will invest morethan NT$10 billion in developing wind power generation in the next 10years, a company spokesman said Sunday. The 10-year development plan is part of the state-owed firm'sefforts to substantiate the government's eco-friendly ""green powergeneration"" policy. Under the plan, Taipower will install at least 200 wind powergenerators with a total installed capacity of 300,000 kilowatts, thespokesman said, adding that the wind power generators will first beset up in coastal regions in western part of the island.
 An amendment to the 2005 defense authorization billcurrently before Congress could immediately halt the development ofoffshore wind-power facilities in the United States, including acontroversial project planned for coastal Massachusetts, environmentalgroups and developers said this week. The amendment is being pushed by Sen. John Warner, R-Va., who sitson the House-Senate conference committee that will write the finalversion of the bill.","Europe leads the way in producing energy from wind. It is planned that by 2010, 22% of its electricity will come from renewal sources. Denmark already receives 18% of its energy from wind power. Four hundred turbines are to be built in the sea off the coast of Spain. Fishermen claim they will disturb tuna migration and force their boats into treacherous waters. A U.S. plan to build 130 turbines in the ocean south of Cape Cod is meeting strong opposition from residents of nearby resorts who say the turbines would spoil the view, disrupt fishing and harm birds. ","The first US offshore wind turbine plan was in Nantucket Sound. Opponents of offshore wind power sought a more comprehensive strategy for wind energy and argued it would spoil vacation area aesthetics, disrupt commercial fishing and harm birds and marine life. One study found the proposal would have little effect on the surrounding air, sea, and animal life or fishing conditions. Another study concluded the turbines could alter local weather. Fishermen opposed clusters of windmills on Spain's southern shore because they would disturb tuna migration and necessitate dangerous detours. ","Proponents of wind turbine generated power consider it a safe, pollution free, way to reduce dependence on fossil fuels. It counteracts global warming by reducing greenhouse gases and preserves oil and natural gas resources. They contend there is no harm to the local environment and even attract sightseers. Opponents primarily consider wind farms to be a blight on the landscape that lowers property values, tourism and jobs. They expect off shore farms to disrupt commercial shipping, harm birds and marine life, and impact sport and commercial fishing. Land-based farms are deemed to affect local weather, vegetation and wildlife. ","Proponents of wind power assert that it is a safe, non-polluting, renewable alternative to fossil fuel. Opponents say that the turbines are ugly, disrupt fishing, harm birds and marine wildlife, and affect local weather. Wind power is widely used in Europe, both on land and offshore. Now the first U.S. off-shore wind farm has been proposed for Nantucket Sound. Opponents emphasize the aesthetic impact of the project, while a draft environmental report said that it would not hinder commercial or sport activities nor would it kill birds or fish or affect currents, water quality, or noise levels. "
D0905,D0905-B,"On the site where border guards used to keep watch on the western outpost of the Soviet Union, Baltic European Union newcomer Estonia is erecting a wind farm to generate clean electricity. The wind-swept Pakri peninsula, which juts into the Baltic Sea 60 kilometres (36 miles) west of the capital Tallinn, once hosted a training centre for Soviet border guards. The nearby town of Paldiski was a key Soviet nuclear submarine training ground. Today, sleek silver arms of the state-of-art wind power turbines dot the site which was off-limits to civilians throughout the five decades of Soviet occupation from 1940 to 1991.The first three windmills of the Pakri Wind Farm have just been put into operation, with five others to follow before the end of the month.","In eco-friendly nations, such as Germany and Denmark, wind energy has largely replaced traditional coal, gas, oil and nuclear for power generation. There, wind-powered energy is increasing 15 to 30 percent per year. Big investments in wind power are also being made in Brazil, France, mainland China, Spain, Sweden and Turkey. In 2001, Texas set a U.S. record by installing more wind power capacity than any other state. But recently, 15 states have surpassed Texas's record. New York, California and Hawaii have enacted legislation requiring that 20% of energy companies' output must come from renewable sources by 2020. ","Advocates say a Nantucket wind farm could produce three fourths of electricity needs for the Cape Cod area. Wind farms can reduce reliance on fossil fuel, global warming, and, pollution. It could bring jobs, fish and perhaps a tourist attraction. Opponents argue that Nantucket is the wrong place for a farm. The plan relies on unproved technology. A large wind turbine project is planned in Taiwan. A proposed wind farm overlooking Ireland's oldest religious site was ruled out for fear it would disrupt the sanctuary's tranquility. ","Wind power proponents believe the technology will become competitive as the cost of fossil fuel rises and larger turbines are brought online. Turbines are touted for their low noise and the lack of exhaust gas or water. Two negatives with wind power are its dependence on the changeable weather and the distances of farms from population centers. Opposition to wind power becomes more ferocious when planned farms are believed to infringe on the vistas of the wealthy and political influential or on historical, religious sites. ","Advocates for the Nantucket Sound off-shore wind farm maintain that the farm would bring jobs to the area, that it might be a tourist attraction, and that the towers would attract fish. Opponents say that it relies on unproven technology and that this is the wrong location. A German group building a project in Taiwan claims that it will cause no pollution, low noise, and no exhaust gas or waste water - it is clean, competitive, and inexhaustible. In Ireland a project near a very old pilgrimage site was abandoned because it would ""interfere with its tranquility."" "
