topic,file,gold
BIDDUT DAM,BIDDUT DAM_A,"টাইলস বাজারে দেশের অন্যতম প্রতিষ্ঠান আরএকে সিরামিকস গ্যাস সংকটে দুইভাগে ভুগছে। টাইলস উৎপাদনে গ্যাসের সংকট হচ্ছে। গ্যাসের সংকট হওয়ার অন্যতম কারণ হচ্ছে প্রয়োজন অনুযায়ী বিদ্যুৎ উৎপাদন হচ্ছেনা। সন্ধ্যার পর গ্যাসের চাপ চাহিদা অনুযায়ী খুবই থাকে বলে জানান আরএকে কোম্পানির সচিব মোহাম্মদ শহীদুল ইসলাম। অরএকে সিরামিকস এবং বিএসআরএমের মতোন শিল্পকারখানায় গ্যাস ও বিদ্যুতের সংকট দেখা দিচ্ছে।এই সমস্যা খুব শীগ্রই ঠিক না হলে রপ্তানি ক্ষেত্রে অনেক বেধা ঘটতে পারে বলে জানিয়েছেন রপ্তানিকারকরা।ইউক্রেন রাশিয়ার যুদ্ধের জন্য নিত্যপণ্যের দাম বিশ্ববাজারে অনেক বেড়েছে।  আমদানি খরচ বেড়েছে সেই সাথে ডলার দাম বাড়াতে প্রবাসী আয় কমে গিয়েছে। ২০২১-২০২২ অর্থ বছরে প্রবাসী আয় ৫হাজার২০৮ কোটি রপ্তানি দেশে এসেছে যা আগের বছরের চেয়ে ৩৪শতাংশ বেশি।নরসিংদী, নারায়ণগঞ্জের আড়াইহাজার, গাজীপুরের বস্ত্রকল গুলো বিদ্যুৎ সংকটে পড়েছে বলে জানান বিটিএমার সভাপতি মোহাম্মদ আলী। গ্যাসের চাপ কম থাকতে বস্ত্র তৈরিতে দেরি হচ্ছে যার জন্য রপ্তানি নিধারিত সময়ের মধ্যে করতে পারছে না রপ্তানিকারকেরা।  গ্যাস সংকট খুব শীগ্রই সমাধান না হলে ভয়াবহ বেঘাতের মধ্যে পড়বে শিল্পখাত। শিক্ষামন্ত্রী দীপুমনি সংবাদ সম্মেলনে বলেন রাশিয়া ইউক্রেন যুদ্ধের কারণে জ্বালানির দাম অনেক বেড়ে গেছে যার জন্য দ্বিগুণ দাম দিয়ে জ্বালানি কিনে বিদ্যুৎ উৎপাদন করা লাগছে। বাংলাদেশ ব্যাংক সব ব্যাংকে নির্দেশ দিয়েছে বিদ্যুতের ব্যাবহার কমিয়ে দিতে। বিদ্যুৎ এবং জ্বালানি কতটুকু খরচ হয়েছে তা তথ্য ও দলিলপত্র আর্থিক প্রতিবেদনে জমা দেওয়ার নির্দেশ দিয়েছে বাংলাদেশ ব্যাংক।"
BIDDUT DAM,BIDDUT DAM_B,"বিশ্বব্যাপী জ্বালানি সরবরাহ কমের কারণে দোকান, শপিং মল, মার্কেট ও কাচা বাজারে রাত ৮টার পর বিদ্যুৎ ও গ্যাসের ব্যাবহার বন্ধ রাখার উদ্যোগ নিয়েছে সরকার। নারায়ণগঞ্জ বন্দর উপজেলাতে গ্যাস সরবরাহ বন্ধ রয়েছে প্রায় একমাস ধরে। কার্টনের রপ্তানির কাজ করে বাসার পেপার মিল। চাহিদা অনুযায়ী গ্যাসের সরবরাহ অনেক কম ।দেশের পাঁচ শিল্পকারখানা বিদ্যুৎ ও গ্যাসের সংকটে পড়েছে। গ্যাসের চাপ চাহিদা অনুযায়ী কম হওয়ায় ও লোড শেডিং হওয়ায় পণ্য উৎপাদন ৫০ শতাংশের কম হয়ে গিয়েছে।টেক্সটাইল মিলের পরিচালক আবদুল্লাহ আল মামুন বলেন অন্তত ২/৩ ঘণ্টা বিদ্যুৎ থাকছে না যার জন্য ১টা শিফট বন্ধ রাখতে হচ্ছে। ক্ষুদ্র ও মাঝারি কারখানা গুলো ক্ষতির সম্মুখীন হয়েছে। কারখানার গুলো বেশিরভাগই গ্যাস নির্ভর। সব মিলে কারখানা আছে ২ হাজার ১৬৫ তার মধ্যে পোশাকের কারখানা আছে ১ হাজার ১৮৭টি। বিদ্যুত ও গ্যাসের সংকটের কারণে কারখানার পোশাকের উৎপাদন অর্ধেক কমে গিয়েছে এবং গ্যাসের অভাবে ডায়িং কারখানা সময়মতো কাপড় দিতে পারছে না। গাজীপুরে তিতাস ব্যাবস্থাপক মো রেদানুজ্জামান রেদওয়ান বলেছেন গাজীপুরে যে পরিমান গ্যাস চাহিদা থাকে ওই পরিমাণে পাওয়া যায় না। কারখানা গুলাতে গ্যাস সরবরাহ কখনো বন্ধ থাকে না কিন্তু  গ্যাস কম পাওয়ার কারণে চাপ কম থাকে। ময়মনসিংহের ভালুকা উপজেলায় ৩৫০ কারখানা রয়েছে কিন্তু ৮-৯ ঘণ্টা করে ইলেক্ট্রিসিটি থাকছে না বলে জানান উদ্যোক্তরা। তাতে ৩০-৪০ শতাংশ করে উৎপাদন কমেছে। ইকরাম ওয়েটার নামের এক কারখানার কর্মকর্তা জানান বিদ্যুৎ খরচ কমানোর জন্য প্রতিদিন ১হাজার ২০০ এবং দিনে ৬০০  মেশিন বন্ধ রাখা হচ্ছে। এতে ৩৫ শতাংশ উৎপাদন কমেছে ।"
BRETAIN_ELECTION,BRETAIN_ELECTION_A,পার্টিগেট কেলেঙ্কারির কারণে বিরোধিতার মুখে পড়ে জুলাই মাসে দলীয় নেতৃত্ব থেকে পদত্যাগ করেন ব্রিটিশ প্রধানমন্ত্রী জনসন। তারপরই কনজারভেটিভ পার্টির নতুন নেতা নির্বাচনের প্রক্রিয়া শুরু হয়।কনজারভেটিভ পার্টির নতুন প্রধান রাণী এলিজাবেথের সঙ্গে সাক্ষাৎ করেন এবং রাণী ক্ষমতাসীন দলটির নতুন প্রধানকে সরকার গঠন করার আহ্বান জানান।প্রায় দুমাস ধরে চলা নেতা নির্বাচনের প্রক্রিয়ায় চূড়ান্ত ধাপের প্রতিদ্বন্দ্বিতায় ছিলেন পররাষ্ট্রমন্ত্রী লিজ ট্রাস এবং সাবেক চ্যান্সেলর ঋষি সুনাক।নিয়মানুযায়ী যুক্তরাজ্যে কোনও প্রধানমন্ত্রী তার মেয়াদকাল পূরণের আগেই পদত্যাগ ঘোষণা করলে সাধারণ নির্বাচন ডাকা হয় না। ক্ষমতাসীন দলের সদস্যরা তাদের নতুন নেতা বেছে নেন।ভোটের মাধ্যমে পররাষ্ট্রমন্ত্রী ট্রাস প্রধানমন্ত্রী নির্বাচিত হন।তত্ত্বাবধায়ক প্রধানমন্ত্রী বরিস জনসন রাণী এলিজাবেথের নিকট গিয়ে আনুষ্ঠানিকভাবে পদত্যাগ ঘোষণা করেন।এরপরই ট্রাসকে নতুন প্রধানমন্ত্রী নিয়োগ করেন কুইন এলিজাবেথ। কিন্তু দেশটির টালমাটাল পরিস্থিতি সামাল দিতে না পেরে গত ২০ অক্টোবর পদত্যাগ করেন। ফলে ব্রিটেনের প্রধানমন্ত্রী নির্বাচিত হন ঋষি সুনাক।বরিস জনসন চাইবেন দলের নেতৃত্ব ফিরে পেতে আবার সেই কারণেই ঋষি সুনাকের পদে পদে আটকে দেওয়ার চেষ্টা করবে বরিস ও তার সমর্থক গোষ্ঠী।যার ফলে বলা যায় আগামী নির্বাচনের আগ পর্যন্ত বরিস ও ঋষি সুনাকের মধ্যে একটি স্নায়ু যুদ্ধ চলবে।তাৎক্ষণিকভাবে সবকিছু মিলিয়ে সুনাকের পক্ষে দুই বছরের অধিক কাল ক্ষমতা টিকিয়ে রাখা যে কঠিন হবে তাতে কোন সন্দেহ নেই।
BRETAIN_ELECTION,BRETAIN_ELECTION_B,"বিনা প্রতিদ্বন্দ্বিতায় ব্রিটেনের প্রধানমন্ত্রী নির্বাচিত হলেন প্রথম ভারতীয় বংশোদ্ভুত ঋষি সুনাক। আগামী ২৮ অক্টোবর তাঁর শপথগ্রহণ করার কথা রয়েছে। ১০০ জন সাংসদের সমর্থন প্রয়োজন হলেও প্রধানমন্ত্রী পদে লড়তে ঋষি সুনাক এর পক্ষে ছিল। দেড় শতাধিক সাংসদ। এই খবরে ভারতবাসী অনেক উচ্ছ্বসিত।গত ২০ অক্টোবর প্রধানমন্ত্রীর পদ থেকে পদত্যাগ করেন কনজারভেটিভ পার্টির নেত্রী লিজ ট্রাস। এর পর থেকে জল্পনা কল্পনা চলছিল কে হবেন পরবর্তী প্রধানমন্ত্রী। সূত্রের খবরে জানা যায়, বরিস জনসন ঋষি সুনাককে প্রধানমন্ত্রীর পদে দাঁড়ানো থেকে সরে যেতে বললেও তিনি মেনে নেননি। প্রধানমন্ত্রী নির্বাচনের পর পার্লামেন্টে দেশের অর্থনৈতিক সঙ্কটের জন্য বিপক্ষ দল লেবার পার্টির কাছে সমালোচনার সম্মুখীন হতে হয়। এর জবাবে তিনি বলেন, তার সরকার সব সময় জনগণের জন্য কাজ করে যাবে।ব্রিটেনের এক বিশ্লেষক মুহাম্মদ মোশতাক বলেছেন, সুনাককের জন্য এই কাজটি অনেক কঠিন হবে। কারণ তিনি জনগণের দ্বারা নির্বাচিত সরকার নন। এছাড়াও তার দলের জনপ্রিয়তা দিন দিন কমছে। সাবেক প্রধান প্রধানমন্ত্রী লিজ ট্রাসের অনেক সমর্থনকারীই সুনাককে সমর্থন করছে না।এরই মধ্যে লেবার পার্টি থেকে সাধারণ নির্বাচনের দাবি করা হচ্ছে।সুনাককের রাজনৈতিক দক্ষতার উপরই তাঁর সরকারের স্থায়ীত্ব নির্ভর করবে।যেমনটি বলছিলেন যুক্তরাজ্যের শেফিল্ড বিশ্ববিদ্যালয়ের গবেষক ড. অ্যান্ড্রু বার্কলে। এছাড়াও এর কারণ হিসাবে তিনি কনজারভেটিভ পার্টির অন্তর্দলীয় কোন্দলকে তুলে ধরেন।ফলে ঋষি সুনাককে দুটি সমস্যার সম্মুখীন হতে পারে। প্রথমটি লেবার পার্টি 30 পয়েন্ট এগিয়ে আছে অন্যটি অন্যটি তাঁর দলের পূর্ববর্তী প্রধানমন্ত্রী লিজ ট্রাসের অর্থনৈতিক ক্ষেত্রে বেপরোয়া আচরণ। এছাড়াও রয়েছে ইউক্রেন, রাশিয়া যুদ্ধ। এর ফলে ২৩ সালের শুরুতে যুক্তরাষ্ট্রের মুদ্রাস্ফীতি ১৮ শতাংশের বেশি হয়ে যেতে পারে।"
BUET STU ABRAR MURDER,BUET STU ABRAR MURDER_A,"বুয়েটের আবরারের হত্যা মামলার ২২ আসামীদের মধ্যে ২০ জনের মৃত্যুদণ্ড আর পাঁচজনের যাবজ্জীবন কারাদণ্ড দিয়েছিল সুপ্রিমকোর্ট। তার হত্যা এর ঘটনায় মোঃ বরকত উল্লাহ বাদী হয়ে ২০১৯ সালের ৭ অক্টোবর রাজধানীর চকবাজার থানায় মামলা করেন। ২০১৯ সালের ৬ অক্টোবর বুয়েটের শেরে বাংলা হলের গেস্ট রুমে আসামি বুয়েটের ১৭ ব্যাচ এর ছাত্র আব্রার কে নির্যাতন করে, মানসিকভাবে বিপর্যস্ত করে হত্যা করে। তারা আবরারের স্ট্যাটাস গুলো ঘেঁটে দেখে তারপর ক্রিকেট স্ট্যাম্প নিয়ে আবরারকে মারেন। পরে আরেক দফা পেটানো হয় আব্রারকে। একপর্যায়ে মার খেতে খেতে সে অচেতন হয়ে পড়লে কোলে করে অন্য কক্ষে নিয়ে আসে । সেখানে অবস্থার আরো অবনতি হলে দোতলা আর নিচ তলায় সিড়ির মাঝখানে নিয়ে আসে । চিকিৎসা পাওয়ার আগেই আবরার মারা যান। এটার পর বুয়েটের কর্তৃপক্ষ পুলিশকে খবর দেয়।"
BUET STU ABRAR MURDER,BUET STU ABRAR MURDER_B,"আবরার ফাহাদের মৃত্যুর আগ মুহূর্তে তিনি একটা স্ট্যাটাস দেন যেটাতে তিনি সরকারের বিপক্ষে ভারতকে নিজের দেশের জরুরী সম্পদ দেওয়ার বিরোধিতা করে । সেই স্ট্যাটাসে একটা কবিতাও থাকে কামিনী রয়ের। মূলত পুরনো সমুদ্র বন্দরের ইতিহাসের কথা তুলে ধরে আর কিভাবে ভারত নিজেদের রাজ্যকে সাহায্য করতে চায় না কিন্তু বাংলাদেশ তাদের সীমিত সম্পদ তাদের দিয়ে দেয় এই কথা তুলে ধরেন। সমুদ্র বন্দর, পানি আর গ্যাস দেওয়ার বিরোধিতা করে স্ট্যাটাস দেওয়ার পর তার পরিবার তার মৃত্যু এর কথা জানতে পারে দুঃখবশত । পুলিশরা ফাহাদের মরদেহ উদ্ধার করার পর গায়ে আঘাতের চিহ্ন পান। ফাহাদের মামাতো ভাই বলেন তার কোন শত্রুতা না থাকা সত্ত্বেও কিভাবে তিনি এই চরম মর্মান্তিক মৃত্যুর স্বীকার। পুলিশের মোটামুটি কোন অস্ত্র ব্যবহার না করেই তাকে আঘাত করা হয়েছে। পরীক্ষা করানো হইলে তিনি জানান আর বেঁচে নাই । এ ব্যাপারে সহপাঠীদের জিজ্ঞাসাবাদ করা হয়। আবরার ফাহাদের ৫ নম্বর আসামি বব স্ট্রোক করে মারা যান । তার মায়ের সাথে কথা বললে জানায় যে তার ছেলে জেলে, স্বামীও নাই এ বলে তিনি দুঃখ প্রকাশ করেন। আবরার ফাহাদের বাবা এক অপরিচিত নাম্বার থেকে ফোন পায় যেখানে তাকে মাফ করে দেওয়ার কথা বলা হয় স্বামীদের ।এ কথা শুনানোর পর তার বাবা রেগে তাদের সমালোচনা করেন।"
CHATGPT,CHATGPT_A,"৩ ফেব্রুয়ারি ২০২৩ এর রিপোর্ট অনুযায়ী নভেম্বর ২০২২ এ ওপেন এআইএ তৈরি চ্যাট জিপিটি বাজারে আসার পর বিশ্বজুড়ে জনপ্রিয়তার শীর্ষে অবস্থান করছে যা কিনা প্রথম মাসেই ১০ কোটিরও বেশি ব্যবহারকারী পেয়েছে। জিমেইল নির্মাতার আশঙ্কা ধ্বংস করতে পারে । কেননা , চ্যাট জিপিটি যেকোনো বার্তার উত্তরে দ্রুত , নির্ভুল বার্তা , শব্দচয়ন ও ভাষা ব্যবহার করে এমন কি কবিতা লিখে দিতে পারে । এদিকে চ্যাট জিপিটির সঙ্গে পাল্লা দিতে google ও এ আইভিত্তিক চাট বট আনছে । ৮ ফেব্রুয়ারি ২০২৩ গুগল তাদের চ্যাট বট উন্মুক্ত করবে । গুগল ২০২২ সালে চ্যাট বটের ব্যবহার পরীক্ষামূলক ভাবে সীমিত পরিসরে শুরু করলেও তাদের এ নিয়ে বড় পরিকল্পনা রয়েছে বলে জানান । চ্যাট ডিপিটির কারণে উচ্চ ঝুঁকিতে পড়বে যে দশ পেশা তা হল প্রযুক্তি নির্ভর চাকরি , গণমাধ্যম, আইন পেশা, বাজার গবেষণা বিশ্লেষণ, শিক্ষকতা , আর্থিক হাতের চাকরি, পুঁজিবাজারের কাজ , গ্রাফিক ডিজাইন, হিসাব রক্ষন, গ্রাহক সেবা ।"
CHATGPT,CHATGPT_B,"৭ ফেব্রুয়ারি ২০২৩ এর রিপোর্ট অনুযায়ী চ্যাট ডিপিটি গণতন্ত্র কে যেভাবে হুমকিতে ফেলতে পারে এটা নিশ্চিত বলা যায় । স্বয়ংক্রিয়ভাবে মানুষের লিখিত প্রশ্নে এমনভাবে সাড়া দিতে পারে যার ধরন প্রায় মানুষের কাছাকাছি এবং পার্থক্য করাই মুশকিল। কবিতা কিংবা নাটকের চিত্রনাট্য রচনার মতো সৃষ্টিশীল কাজ , নিবন্ধের লিংকে, ব্লগে এবং সামাজিক যোগাযোগ মাধ্যমের পোষ্টের মন্তব্যের ঘরে নির্দিষ্ট এজেন্ডা ধরে মন্তব্য করতে পারে চার জিপিটি । এই কৃত্রিম বুদ্ধিমত্তা গণতন্ত্রের লড়াইয়ে মানুষের জায়গা দখল করবে লবিং এর দিক থেকে। যার ফলে ভবিষ্যতে যুদ্ধে মনুষ্যবিহীন ড্রোনের মতো প্রচারাস্ত্র প্রয়োগ হবে এই চার জিপিটির ব্যবহারের দারা । এদিকে চ্যাট জিপিটির পাল্টা বট বার্ড নিয়ে আসছে গুগল । তবে গুগল কিভাবে চার জিবিটি থেকে বার্ড কে আলাদা করবে , তা এখনো পরিষ্কার নয় ।মাইক্রোসফট ওপেন এ আই এ ১০০ কোটি মার্কিন ডলার বিনিয়োগ করে এবং পরবর্তীতে আরও ১ হাজার কোটি ডলার বিনিয়োগের ঘোষণা দেয় । এই কৃত্রিম বুদ্ধিমত্তা গণতন্ত্রের লড়াইয়ে মানুষের জায়গা দখল করবে লবিং এর দিক থেকে। চ্যাট জিপিটি প্লাসে যে বাড়তি সুবিধা পাওয়া যাবে তা হলো এতে যুক্তরাষ্ট্রের বসবাসকারীদের প্রবেশে অগ্রাধিকার , এবং নির্দিষ্ট সংখ্যক ব্যবহারকারীকে অর্থের বিনিময়ে বাড়তি সুবিধা প্রদান উন্মুক্ত করা হবে ।"
CYCLONE SITARANG,CYCLONE SITARANG_A,"২০২২ সালের ২৩ অক্টোবর তারিখে বাংলাদেশের কক্সবাজার, বরিশাল নোয়াখালী, সাতক্ষীরা, ফেনী সহ দেশের সবগুলো উপকূলীয় এলাকা এবং নদী ও সমুদ্রবন্দরগুলোকে ঘূর্ণিঝড়ের কারণে সতর্কতা অবলম্বন করতে  বলা হয়েছে। দুর্যোগ ব্যবস্থাপনা মন্ত্রণালয় থেকে উপকূলীয় অঞ্চল গুলোতে  ঘূর্ণিঝড় মোকাবেলার জন্য সব ধরনের প্রস্তুতি গ্রহণ করা হয়েছে। বঙ্গোপসাগরের সৃষ্ট এই ঘূর্ণিঝড় টির নাম দেয়া হয়েছে সিত্রাং।আবহাওয়া অধিদপ্তর পূর্বাভাসে বলছে ঘূর্ণিঝড় টির কারণে উপকূলীয় অঞ্চলগুলো উচ্চ জলোচ্ছ্বাসে প্লাবিত হতে পারে। সিত্রাং এর প্রভাবে দেশের সব জেলাতেই ভারি বৃষ্টিপাত সহ বিভিন্ন জেলায় জলাবদ্ধতার সৃষ্টি হয়েছে। উপকূলীয় অঞ্চল সহ দিব এবং চরগুলো জলোচ্ছ্বাসে প্লাবিত হচ্ছে। দুর্যোগপূর্ণ আবহাওয়ার কারণে সব ধরনের নৌযান চলাচল বন্ধুরা রাখতে বলা হয়েছে এবং শহরগুলোতেও যান চলাচলে পরিমাণ অনেকটাই কম। দুর্যোগ কালেন এবং দুর্যোগ পরবর্তী পরিস্থিতি মোকাবিলার জন্য স্বেচ্ছাসেবোকরা প্রস্তুত রয়েছে এবং প্রয়োজনীয় চিকিৎসা সেবা এবং আশ্রয় কেন্দ্র প্রস্তুত রাখা হয়েছে।দুর্যোগ কালীন এবং পরবর্তী সময়ে মানুষের সহায়তার জন্য ৭২ টি ইউনিয়নের ৭২টি কেন্দ্র চালু করা হয়েছে এবং বিশ হাজার প্যাকেট শুকনো খাবার ও ২৫ লক্ষ টাকা চাওয়া হয়েছে।"
CYCLONE SITARANG,CYCLONE SITARANG_B,"সিত্রাং এর প্রভাবে নোয়াখালীর উপকূলীয় উপজেলা হাতিয়ায় দমকা হাওয়া এবং হালকা বৃষ্টি হচ্ছে। উপজেলা দুর্যোগ কমিটির জরুরি সভায় দুর্যোগ মোকাবেলার জন্য সব ধরনের প্রস্তুতি গ্রহণ করা হচ্ছে এবং সবাইকে নিরাপদ অবস্থানে থাকার নির্দেশনা দেয়া হয়েছে। অপরদিকে বরগুনার উপকূলীয় এলাকাগুলোতে ভারী বৃষ্টিপাত হচ্ছে।ধারণা করা হচ্ছে ঘূর্ণিঝড়টির অগ্রবর্তী অংশ  অমাবস্যা ও প্রবল বায়ু চাপের আধিক্যের কারণে উপকূলীয় জেলা,নদী, চর এবং দ্বীপগুলো ৫ থেকে ৮ ফুট উচ্চতার জলোচ্ছ্বাসে প্লাবিত হতে পারে। সব ধরনের প্রস্তুতি গ্রহণ করা হচ্ছে ও মানুষদের নিরাপদ আশ্রয় নেয়া হচ্ছে। জরুরী চিকিৎসা সেবা সহ, খাদ্য ও ত্রাণ ব্যবস্থা নেয়া হয়েছে। ঘূর্ণিঝড় সিত্রাং এর গতিপথ বরিশালের দিকে প্রবাহিত হচ্ছে।প্রবল বৃষ্টির কারণে, উঁচু উচ্চতার জোয়ারের আশঙ্কা করা হচ্ছে। পরিস্থিতি মোকাবিলার জন্য প্রস্তুতি গ্রহণ করা হচ্ছে। ঘূর্ণিঝড় মোকাবিলার জন্য দেশের সব উপকূলীয় অঞ্চলে প্রয়োজনীয় চিকিৎসা সেবা খাদ্য, ত্রাণ ও আশ্রয়কেন্দ্র সহ, গবাদিপশুর আশ্রয়েরও ব্যবস্হা গ্রহণ করা হয়েছে।"
